id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ACTR8	10	3.6799e-06	5.489e-05	0.005489	1	8	-0.8638	0.9932	0.99333	0.996043	99	0	-0.8638
ACIN1	10	5.1993e-05	0.00038423	0.019212	2	9	-0.8802	0.99159	0.99171	0.996043	98	0	-0.8802
AHCY	10	0.00041303	0.0029391	0.097971	3	6	-0.56069	0.0819	0.25234	0.901215	28	2	-0.56069
AATF	10	0.0014635	0.0089471	0.163589	4	8	-0.70265	0.9877	0.98819	0.996043	96	1	-0.70265
ABT1	10	0.0015551	0.0094361	0.163589	5	7	-0.58957	0.83258	0.92805	0.996043	90	1	-0.58957
ACLY	10	0.0016132	0.0098154	0.163589	6	8	-0.80032	0.99611	0.99604	0.996043	100	0	-0.80032
AHCTF1	10	0.0031132	0.01727	0.246721	7	5	-0.23527	0.57563	0.80422	0.996043	77	3	-0.23527
AGBL5	10	0.0035912	0.019825	0.247817	8	8	-0.35789	0.76989	0.90657	0.996043	86	1	-0.35789
ADIRF	10	0.0059781	0.031233	0.347028	9	7	-0.38313	0.64117	0.83724	0.996043	83	2	-0.38313
ACTR3	10	0.0083753	0.041043	0.410429	10	6	-0.33481	0.85157	0.9344	0.996043	91	1	-0.33481
ABCF1	10	0.01124	0.052131	0.473916	11	4	-0.082059	0.078923	0.24499	0.901215	27	4	-0.082059
ACTL6A	10	0.018865	0.081023	0.637047	12	6	-0.34362	0.5259	0.77533	0.996043	72	2	-0.34362
ADRB1	10	0.020241	0.085863	0.637047	13	3	0.11433	0.23089	0.49573	0.951464	51	5	0.11433
ACAD9	10	0.0211	0.089187	0.637047	14	5	-0.31684	0.034488	0.13521	0.683907	19	3	-0.31684
ACTRT3	10	0.025331	0.10421	0.694711	15	6	-0.42641	0.11287	0.31791	0.904966	34	3	-0.42641
ACHE	10	0.034608	0.13184	0.811516	16	5	-0.12062	0.855	0.9356	0.996043	92	2	-0.12062
ACO2	10	0.039537	0.14501	0.811516	17	3	0.16994	0.2438	0.51278	0.951464	52	5	0.16994
ACTR1A	10	0.040033	0.14607	0.811516	18	5	-0.022985	0.018581	0.080953	0.655323	12	5	-0.022985
AFF3	10	0.047602	0.1665	0.876326	19	5	-0.23592	0.60321	0.8177	0.996043	79	3	-0.23592
ACP1	10	0.054142	0.18283	0.914147	20	6	-0.18317	0.99117	0.99131	0.996043	97	0	-0.18317
AAAS	10	0.066714	0.21407	0.999686	21	5	-0.29594	0.91288	0.95988	0.996043	94	2	-0.29594
AGPAT5	10	0.076674	0.23787	0.999686	22	5	-0.18272	0.88305	0.94687	0.996043	93	2	-0.18272
ABL1	10	0.081383	0.24966	0.999686	23	5	-0.21329	0.30359	0.58676	0.951464	60	2	-0.21329
AGPAT3	10	0.086724	0.26155	0.999686	24	6	-0.26457	0.4616	0.72302	0.996043	68	3	-0.26457
AEBP1	10	0.10505	0.30053	0.999686	25	4	-0.092964	0.79997	0.91751	0.996043	88	2	-0.092964
AFMID	10	0.11334	0.314	0.999686	26	5	-0.26972	0.82647	0.926	0.996043	89	1	-0.26972
ACRC	10	0.11614	0.31885	0.999686	27	3	0.11912	0.0018401	0.011063	0.589696	1	5	0.11912
AGL	10	0.12211	0.32869	0.999686	28	5	-0.089501	0.2503	0.52123	0.951464	54	5	-0.089501
ADRM1	10	0.13171	0.34443	0.999686	29	5	-0.21536	0.63388	0.83352	0.996043	82	1	-0.21536
ACBD6	10	0.13975	0.35712	0.999686	30	5	-0.10807	0.10933	0.31082	0.904966	32	4	-0.10807
ABCC1	10	0.15611	0.38328	0.999686	31	4	-0.15482	0.12721	0.34389	0.904966	38	2	-0.15482
ADAMTS5	10	0.1676	0.40075	0.999686	32	5	-0.13571	0.5343	0.78251	0.996043	73	2	-0.13571
ABI1	10	0.16943	0.40365	0.999686	33	5	-0.23736	0.27414	0.55361	0.951464	55	2	-0.23736
ABTB1	10	0.17459	0.41185	0.999686	34	4	-0.083354	0.47027	0.73001	0.996043	69	3	-0.083354
ADAP1	10	0.17891	0.41839	0.999686	35	2	0.096871	0.32857	0.60893	0.951464	63	2	0.096871
ACTL7A	10	0.19003	0.43476	0.999686	36	3	-0.049861	0.31526	0.59761	0.951464	61	4	-0.049861
ADH5	10	0.1918	0.43734	0.999686	37	4	0.031022	0.28207	0.5642	0.951464	58	4	0.031022
AEN	10	0.20291	0.45382	0.999686	38	5	-0.16395	0.60882	0.82059	0.996043	80	1	-0.16395
ADAM12	10	0.22784	0.48946	0.999686	39	4	0.13144	0.17889	0.42286	0.934015	44	3	0.13144
AAK1	10	0.23038	0.49317	0.999686	40	3	0.067339	0.021972	0.092819	0.655323	14	4	0.067339
ACSL6	10	0.2332	0.49704	0.999686	41	4	0.051392	0.15863	0.3929	0.930894	40	5	0.051392
ACTL6B	10	0.23731	0.50229	0.999686	42	5	-0.14409	0.52244	0.77249	0.996043	71	2	-0.14409
ADD3	10	0.23772	0.50293	0.999686	43	4	-0.11794	0.41708	0.68587	0.996043	66	3	-0.11794
ADAM10	10	0.23946	0.50538	0.999686	44	5	-0.1958	0.58908	0.81088	0.996043	78	2	-0.1958
ACVR1B	10	0.24598	0.51422	0.999686	45	5	-0.13523	0.16086	0.39641	0.930894	41	3	-0.13523
ADCY1	10	0.24743	0.51629	0.999686	46	3	0.10422	0.16199	0.39798	0.930894	42	3	0.10422
ACAD11	10	0.25925	0.53268	0.999686	47	5	-0.14423	0.97547	0.98134	0.996043	95	1	-0.14423
ACVR2B	10	0.2695	0.54412	0.999686	48	4	0.055993	0.18249	0.42818	0.934015	45	5	0.055993
ADPRHL2	10	0.27356	0.54846	0.999686	49	4	-0.0055285	0.55871	0.79569	0.996043	76	3	-0.0055285
AFF1	10	0.2913	0.56517	0.999686	50	3	0.053306	0.53432	0.78252	0.996043	74	4	0.053306
ACTR5	10	0.31079	0.58389	0.999686	51	2	0.25177	0.14993	0.37972	0.930894	39	5	0.25177
AGFG1	10	0.31687	0.58976	0.999686	52	4	-0.14439	0.66417	0.84961	0.996043	84	3	-0.14439
ACAT2	10	0.31812	0.59095	0.999686	53	4	0.14699	0.22876	0.49294	0.951464	50	5	0.14699
ADRB3	10	0.37914	0.64816	0.999686	54	2	0.19518	0.066115	0.21492	0.826597	26	4	0.19518
ABHD14B	10	0.38563	0.65402	0.999686	55	2	0.054302	0.47488	0.73365	0.996043	70	4	0.054302
ABLIM2	10	0.40932	0.67457	0.999686	56	4	0.12971	0.12211	0.3362	0.904966	37	5	0.12971
ADI1	10	0.43427	0.69655	0.999686	57	3	0.066132	0.2816	0.56369	0.951464	57	4	0.066132
ABCB8	10	0.45554	0.71529	0.999686	58	3	0.33882	0.0067887	0.035943	0.631653	5	6	0.33882
ADAR	10	0.45577	0.71549	0.999686	59	4	-0.16099	0.11831	0.32959	0.904966	36	3	-0.16099
ACVR2A	10	0.47027	0.72795	0.999686	60	2	0.17169	0.11044	0.31304	0.904966	33	5	0.17169
A1CF	10	0.48032	0.73634	0.999686	61	4	0.0064333	0.16357	0.40028	0.930894	43	5	0.0064333
ACVRL1	10	0.48698	0.7423	0.999686	62	2	0.15882	0.11356	0.31953	0.904966	35	6	0.15882
AFF2	10	0.49074	0.74537	0.999686	63	2	0.2294	0.10705	0.30599	0.904966	31	6	0.2294
ADH7	10	0.49391	0.74819	0.999686	64	4	-0.090919	0.79366	0.91593	0.996043	87	2	-0.090919
ADK	10	0.50847	0.75853	0.999686	65	3	0.26565	0.031812	0.12677	0.683907	18	5	0.26565
